,Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB)
2017-09-12 03:45:00,4.591817,0.623593,28.247726,4.17305,134.643737,637.523948,0.212363,0.106425,1.484657
2017-09-12 04:00:00,0.611828,0.317269,28.514693,8.203663,157.55926,427.935596,4.7e-05,0.101983,0.264407
2017-09-12 04:15:00,1.994927,1.447882,17.794634,26.523542,357.270895,533.155049,0.365108,1.070669,1.336725
2017-09-12 04:30:00,49.958848,3.522896,18.324771,4.826424,297.864474,409.746629,0.000364,9.931942,2.836906
2017-09-12 04:45:00,3.889776,2.933971,9.452643,18.976768,212.077281,132.284888,0.000189,12.548591,12.183789
2017-09-12 05:00:00,23.379428,0.398023,2.086211,15.854612,187.00075,168.905075,9.6e-05,0.088378,0.882001
2017-09-12 05:15:00,18.161549,27.402958,6.927309,13.192164,140.536601,183.02811,0.010358,0.018829,5.342188
2017-09-12 05:30:00,1.91497,119.305612,23.588525,36.181259,115.308858,87.741209,0.11796,0.741571,6.104841
2017-09-12 05:45:00,7.839914,14.508346,16.365917,39.011479,98.361209,67.595004,0.121442,1.98922,0.210313
2017-09-12 06:00:00,3.726531,52.997162,12.793663,21.484854,85.425579,128.548601,0.149419,0.000297,0.42254
2017-09-12 06:15:00,21.013688,9.228609,102.60922,47.348073,304.718096,150.986863,0.922784,3.390328,2.607299
2017-09-12 06:30:00,7.160409,65.860436,99.569423,65.610974,165.816527,410.128143,0.018088,0.022884,15.266196
2017-09-12 06:45:00,23.713941,36.152564,56.514461,154.537582,62.274482,186.502792,0.258509,0.603246,31.892114
2017-09-12 07:00:00,48.242267,27.316085,73.62371,91.788597,105.936403,224.698716,0.089619,0.100064,4.367885
2017-09-12 07:15:00,26.373218,256.871381,26.995137,215.289235,201.166847,332.9085,4.932948,0.175009,13.664115
2017-09-12 07:30:00,13.260175,180.47969,29.799327,286.972052,235.817462,263.804613,0.097048,0.200275,30.486395
2017-09-12 07:45:00,255.325091,280.990306,155.732185,344.315373,482.136642,426.685999,2.335007,1.796804,39.702678
2017-09-12 08:00:00,120.573127,275.122851,79.187644,609.231546,394.851815,327.591499,3.868702,2.21331,113.111661
2017-09-12 08:15:00,134.694783,92.647693,123.809363,595.501559,548.751004,494.11159,16.241645,31.795926,115.197026
2017-09-12 08:30:00,167.856223,316.129528,160.104303,726.822427,568.718597,471.243025,0.679274,5.96616,78.309999
2017-09-12 08:45:00,346.860577,232.889934,102.410912,848.607065,722.351892,567.621702,5.555954,22.162034,101.461133
2017-09-12 09:00:00,384.591599,164.663731,222.157348,770.355349,649.753444,650.837802,4.452984,31.898925,136.915986
2017-09-12 09:15:00,152.413048,239.570116,118.296022,641.646831,802.09906,443.258589,27.132427,3.973316,88.776233
2017-09-12 09:30:00,399.533206,214.826007,858.661839,1039.758405,1120.182798,451.004796,6.339713,5.466938,96.673415
2017-09-12 09:45:00,283.241211,99.374041,150.09504,1326.910775,914.269406,1968.250445,30.234373,33.131625,92.750013
2017-09-12 10:00:00,201.909738,221.958915,994.771057,868.419763,756.312953,739.38679,9.205837,44.833669,170.79162
2017-09-12 10:15:00,157.103929,194.617926,424.766315,560.807581,411.343882,598.290261,22.245552,28.053187,201.073315
2017-09-12 10:30:00,115.332699,179.137816,395.722605,1055.632208,519.272458,609.138005,23.165469,130.649337,113.325516
2017-09-12 10:45:00,90.183096,310.326693,189.720936,906.030695,656.47975,657.095891,12.269445,18.509924,127.371722
2017-09-12 11:00:00,61.706544,91.587749,195.014425,946.745188,1063.793635,430.375969,26.259025,7.710496,96.41902
2017-09-12 11:15:00,74.100442,132.792925,270.588718,567.573062,740.609215,887.984575,11.857939,6.258292,180.498806
2017-09-12 11:30:00,46.16667,61.557524,242.707867,810.724208,473.480586,430.154583,12.214699,12.836477,176.676968
2017-09-12 11:45:00,231.72753,115.577834,333.345077,693.497157,905.906769,588.646158,221.235197,12.13796,103.553231
2017-09-12 12:00:00,77.791931,108.446141,232.802611,713.667039,697.80664,615.372953,15.247506,7.689843,149.457652
2017-09-12 12:15:00,164.440467,212.999506,146.168911,1357.083704,1116.25902,694.768299,16.405093,16.30914,74.183879
2017-09-12 12:30:00,70.193433,150.600937,380.825008,938.963694,966.36972,617.536562,24.286255,18.451958,55.60389
2017-09-12 12:45:00,72.959093,96.215193,236.979102,854.903186,1177.264069,879.719289,10.228668,17.196818,99.043661
2017-09-12 13:00:00,133.044329,177.754419,155.673387,1035.649217,788.593951,773.62283,14.223941,7.825297,82.870548
2017-09-12 13:15:00,72.865735,181.547536,409.441513,626.619393,1207.93975,933.116374,7.769955,41.286253,101.399682
2017-09-12 13:30:00,84.581635,124.193202,630.123531,642.060267,791.23232,964.801363,18.729964,14.362019,179.377442
2017-09-12 13:45:00,183.830839,160.832325,523.663365,808.486989,706.316513,932.562964,20.472934,56.888727,164.888379
2017-09-12 14:00:00,155.830834,159.486945,343.413634,569.818259,826.362749,966.206048,2.474849,24.728411,178.053097
2017-09-12 14:15:00,120.699223,147.217687,315.5717,798.180425,1019.222153,1190.695199,4.322506,36.963757,197.148612
2017-09-12 14:30:00,126.721937,401.919721,297.074747,686.50746,760.414489,900.95771,65.150952,36.319553,395.662874
2017-09-12 14:45:00,169.306901,277.710512,480.185202,669.068077,817.208551,596.132361,147.494678,7.476158,162.290765
2017-09-12 15:00:00,421.203167,226.684752,190.606629,690.318797,1060.272161,808.597068,16.279287,4.179618,56.174158
2017-09-12 15:15:00,228.038958,243.612474,179.941853,703.582474,918.359715,669.185582,77.274441,22.320707,168.507511
2017-09-12 15:30:00,231.874957,224.811966,225.622968,764.584047,756.656589,836.497725,20.773778,34.779058,133.730922
2017-09-12 15:45:00,147.427516,191.426466,257.374253,687.640912,730.157985,1952.466405,3.379507,24.085768,141.853866
2017-09-12 16:00:00,64.042814,337.481305,239.41123,944.610302,747.3819,2478.397682,63.480654,4.854762,136.114332
2017-09-12 16:15:00,99.432045,122.468963,309.568108,730.777332,847.837046,1198.30077,17.388817,20.626668,102.696471
2017-09-12 16:30:00,28.529394,101.3425,271.971613,819.322075,866.438963,1026.160253,13.186492,8.211811,141.801493
2017-09-12 16:45:00,40.675274,176.930118,421.258052,897.260869,690.037816,1001.468093,5.813204,39.351601,145.245575
2017-09-12 17:00:00,154.116087,257.432747,509.196253,503.468999,933.89983,1296.130661,10.96193,9.879819,99.315058
2017-09-12 17:15:00,76.516577,201.303671,318.2813,558.348202,711.820313,787.746839,7.766442,5.106177,69.157904
2017-09-12 17:30:00,44.365924,139.034991,354.474523,653.722967,937.831144,929.731413,18.41572,13.207866,155.062616
2017-09-12 17:45:00,224.788926,150.764847,483.922477,642.482274,1070.941628,1086.797123,12.506122,55.43998,191.355853
2017-09-12 18:00:00,110.006136,255.321868,183.938417,504.945388,1047.392911,1016.40334,6.444607,39.032208,195.416837
2017-09-12 18:15:00,248.935181,276.423112,333.048838,587.59644,1581.298966,876.051827,1.447013,5.459219,260.71913
2017-09-12 18:30:00,63.001144,455.792862,218.021119,897.427147,1048.001859,1330.091813,16.136055,2.787773,202.790231
2017-09-12 18:45:00,234.895338,441.428626,391.073266,903.460938,1258.43318,1088.478153,4.73946,19.368984,147.789854
2017-09-12 19:00:00,76.113695,204.577177,338.670658,846.269666,975.049211,1011.07588,4.030528,6.329913,123.453678
2017-09-12 19:15:00,70.110046,188.839347,244.901591,629.75301,941.225119,1278.446863,11.281514,8.534623,44.251777
2017-09-12 19:30:00,113.705235,208.558018,286.955416,983.972959,1392.819247,1270.308988,35.395897,18.219668,117.3611
2017-09-12 19:45:00,82.669332,396.119666,163.816676,1100.644002,961.286815,1093.382166,67.129768,22.83023,40.347897
2017-09-12 20:00:00,98.2568,194.720497,122.821951,843.415248,1121.172448,1321.875597,135.368587,47.141811,213.478503
2017-09-12 20:15:00,159.694634,233.852235,308.331252,1007.820851,1048.280606,2142.863326,35.119513,46.848188,290.283249
2017-09-12 20:30:00,345.317428,214.269897,439.225562,805.243791,1027.332298,1519.364627,9.141552,8.506291,223.480343
2017-09-12 20:45:00,250.87591,165.145963,377.228939,760.168674,1062.784907,1424.241505,91.392547,24.161457,307.133371
2017-09-12 21:00:00,206.998065,215.128855,847.141532,511.574704,964.938465,1165.006191,32.792466,32.248681,650.417552
2017-09-12 21:15:00,95.014602,278.229717,478.913586,503.543189,878.221455,1037.850073,5.697551,6.4886,814.283207
2017-09-12 21:30:00,85.335631,266.505928,375.131289,569.774632,1207.836967,1300.948862,12.497849,69.714351,380.733793
2017-09-12 21:45:00,155.02778,228.885186,238.838168,399.061623,676.168159,937.956855,3.711058,130.333156,172.599744
2017-09-12 22:00:00,131.251537,330.490922,224.489505,457.750153,804.781611,1351.924323,44.929475,34.128507,200.49073
2017-09-12 22:15:00,170.333704,339.553807,248.609736,513.786201,1256.807315,1268.118183,19.007759,32.189375,184.87062
2017-09-12 22:30:00,246.03516,183.444392,443.777606,720.981313,1928.012451,1698.532539,8.617478,13.991653,289.469854
2017-09-12 22:45:00,78.462619,167.685385,383.677387,435.68718,2641.175418,1384.141816,0.970551,21.063626,230.95933
2017-09-12 23:00:00,149.07955,164.397382,376.752707,435.853451,2070.291128,1384.146717,25.367495,9.764426,306.332449
2017-09-12 23:15:00,76.439326,151.551356,255.306607,236.993496,1940.557865,1542.20583,19.621189,22.346325,166.961388
2017-09-12 23:30:00,98.432948,126.24108,514.547589,543.934777,1567.252941,1287.97433,21.634905,44.236058,134.630827
2017-09-12 23:45:00,104.020018,258.663237,494.70726,190.157019,662.731847,1659.450213,2.046203,16.586191,129.534773
2017-09-13 00:00:00,57.821958,99.837314,205.591114,334.400967,810.861138,1026.846176,138.226172,38.382014,130.259033
2017-09-13 00:15:00,61.260719,180.012331,457.911796,529.570723,1191.550964,1332.077554,17.359745,99.517242,182.397233
2017-09-13 00:30:00,212.856742,163.062098,415.669887,387.11052,985.60115,1201.720697,23.596337,4.391621,119.309121
2017-09-13 00:45:00,125.182429,85.959222,382.329326,189.354001,1126.180682,965.514088,12.602166,5.981757,80.728042
2017-09-13 01:00:00,55.585764,118.82758,451.699101,195.281413,1225.755323,727.520331,4.045383,4.26104,38.239465
2017-09-13 01:15:00,99.822703,208.637317,289.297049,304.665985,648.166467,1318.105136,0.178574,0.083606,48.064914
2017-09-13 01:30:00,139.409108,37.603212,232.500584,219.276522,434.730084,1241.063289,0.003676,0.110042,27.33838
2017-09-13 01:45:00,212.287839,47.039826,217.171741,294.217416,498.8393,849.034653,3.864192,0.154694,116.13331
2017-09-13 02:00:00,53.237589,63.481371,522.607331,109.39497,636.487742,828.286573,0.357335,3.303579,76.53526
2017-09-13 02:15:00,11.805671,41.834694,453.968547,305.152959,677.786452,660.482396,0.001034,20.000062,85.403395
2017-09-13 02:30:00,41.268774,79.441492,360.700901,177.33595,452.264808,738.467318,0.855368,0.133208,132.200437
2017-09-13 02:45:00,3.327438,13.180867,160.600425,27.657614,284.707866,500.565955,0.07579,0.088911,112.556222
2017-09-13 03:00:00,5.840461,7.041186,170.768157,65.941774,413.816757,294.971987,5.705666,0.449208,109.25322
2017-09-13 03:15:00,15.548059,12.184722,70.52054,11.689313,157.796462,213.405679,0.091945,2.966092,76.799794
2017-09-13 03:30:00,2.01702,24.971159,22.357672,6.965233,281.317351,142.424706,0.055824,5.69687,60.979688
2017-09-13 03:45:00,7.322427,4.767203,99.337093,45.271599,76.862017,199.08225,0,5.507574,3.983949
2017-09-13 04:00:00,9.810227,38.468311,108.740063,45.856868,83.720254,125.044305,0.010326,5.28011,1.379477
2017-09-13 04:15:00,10.694427,4.50951,39.416655,40.130214,111.896447,223.358454,0.002616,11.942376,9.157937
2017-09-13 04:30:00,2.232076,13.583798,49.163718,13.49046,151.988603,473.809793,0.020583,2.777491,14.667726
2017-09-13 04:45:00,1.603356,0.830661,51.516937,15.099606,177.516711,185.612472,1.61849,0.005078,0.22996
2017-09-13 05:00:00,2.966444,0.583223,41.494588,14.122183,51.936298,197.561329,31.065935,0.023213,27.051252
2017-09-13 05:15:00,1.379698,1.718694,6.126755,3.493074,148.229813,220.503842,0.028166,0.024865,33.081398
2017-09-13 05:30:00,1.525696,68.685322,13.126317,25.744996,248.807177,204.502816,0.028661,0.056812,32.99847
2017-09-13 05:45:00,2.357695,46.085893,49.788671,23.756758,149.634398,174.699404,0.053809,1.654588,1.087557
2017-09-13 06:00:00,1.73266,132.937255,25.076549,15.102803,260.98009,197.096948,0.001989,3.665974,16.707104
2017-09-13 06:15:00,5.779932,38.570541,35.482866,27.543141,68.024818,277.013086,0.054618,0.00313,1.501028
2017-09-13 06:30:00,280.138182,45.391556,35.220741,158.803554,97.012754,247.630721,0.158607,0.095587,16.438307
2017-09-13 06:45:00,11.490228,99.790788,19.364747,117.403645,246.392125,211.787394,0.831464,0.058146,4.417812
2017-09-13 07:00:00,49.597406,130.388278,96.018348,185.804003,177.291995,214.43593,52.853557,9.674824,47.11645
2017-09-13 07:15:00,119.910967,155.387173,83.737432,121.154826,331.326326,475.521224,8.128619,1.93006,33.872721
2017-09-13 07:30:00,99.41231,103.846211,85.658753,409.099256,501.726852,273.08412,0.915834,22.460989,325.874721
2017-09-13 07:45:00,96.07411,123.335206,52.508383,451.272305,619.616281,496.911617,1.180697,7.184515,15.677582
2017-09-13 08:00:00,126.028024,254.113024,167.047879,620.540752,755.78025,488.726171,12.215121,5.446889,70.097017
2017-09-13 08:15:00,72.286731,224.498225,203.455416,384.498432,477.010044,460.082116,53.390775,4.723593,62.50788
2017-09-13 08:30:00,57.561006,477.117392,177.335211,451.219754,659.211082,725.534775,2.265215,69.884025,58.788581
2017-09-13 08:45:00,192.441431,374.10027,271.712748,475.494779,709.046011,1307.487248,15.404238,21.162817,46.673661
2017-09-13 09:00:00,115.237892,295.515157,176.699742,549.571705,747.803101,1108.863017,2.930158,10.934139,67.330834
2017-09-13 09:15:00,74.209827,225.255682,103.048314,849.14717,938.395138,1044.657255,9.803775,31.165073,40.993221
2017-09-13 09:30:00,175.716059,235.112024,54.780922,926.669801,612.373066,727.01218,5.934598,15.336732,36.320743
2017-09-13 09:45:00,115.194454,212.932913,146.247281,988.157769,684.591513,798.301923,13.53232,19.375534,53.267093
2017-09-13 10:00:00,133.209507,196.185743,296.171067,722.356276,856.194623,568.830546,13.462529,9.172461,63.060627
2017-09-13 10:15:00,164.47426,207.322072,534.79227,608.596474,641.941055,633.6377,19.081888,2.602935,20.923643
2017-09-13 10:30:00,83.02628,168.186008,276.440462,584.526673,793.814722,812.855606,47.036452,18.371637,158.078834
2017-09-13 10:45:00,110.701849,411.149701,218.287075,634.821001,590.341558,736.396421,32.891666,8.084611,155.322006
2017-09-13 11:00:00,110.234951,277.015729,223.992829,526.887544,939.240306,541.117931,30.997399,3.538065,123.4903
2017-09-13 11:15:00,318.449366,128.540986,569.33379,632.572192,1008.609139,865.879452,3.184099,22.383959,128.917119
2017-09-13 11:30:00,76.232317,62.218111,180.036529,651.593645,849.421571,474.024736,48.367418,70.425542,212.655299
2017-09-13 11:45:00,81.706532,79.798047,329.478496,863.93383,623.09602,902.045652,33.196039,6.478881,145.880633
2017-09-13 12:00:00,138.72697,111.253282,198.757425,1001.524295,1106.988286,570.796285,87.099172,9.139898,75.614004
2017-09-13 12:15:00,179.628076,214.098374,261.451989,641.421867,1125.173912,709.148916,66.644359,19.521804,115.726656
2017-09-13 12:30:00,150.9668,122.918303,240.081841,781.440877,1014.041075,970.712765,75.649942,20.970386,207.217974
2017-09-13 12:45:00,169.598126,326.435074,298.574886,872.698176,920.788843,873.084084,16.543943,19.62095,215.695266
2017-09-13 13:00:00,158.289435,223.861015,332.410097,1273.339391,698.021083,1148.787711,11.092689,17.102677,329.313275
2017-09-13 13:15:00,227.483508,84.485598,162.226741,1418.989837,869.759691,1104.922642,36.497225,29.328513,83.92843
2017-09-13 13:30:00,273.090237,90.451137,582.289302,997.695939,745.66294,690.244553,36.330521,10.870298,141.551129
2017-09-13 13:45:00,191.054437,191.830548,554.76458,1036.093013,970.869268,839.21955,26.47821,28.81792,93.054997
2017-09-13 14:00:00,170.464945,225.572961,163.538465,1046.494868,892.166555,1074.101888,53.069798,33.371223,174.400174
2017-09-13 14:15:00,157.43945,196.559725,152.776951,831.720845,1059.067598,949.098193,57.005677,13.33554,100.87219
2017-09-13 14:30:00,288.590034,473.535455,109.429157,899.659434,696.503244,973.883034,14.677324,19.199725,87.801992
2017-09-13 14:45:00,140.397333,430.150224,164.647595,872.461933,523.955297,857.304737,90.214022,7.832925,60.850094
2017-09-13 15:00:00,85.485655,356.532675,141.698432,588.900629,698.395041,501.724088,93.550288,4.835973,179.616907
2017-09-13 15:15:00,94.317524,250.060215,323.634927,802.668599,701.68038,1015.301714,10.845808,15.665441,122.426161
2017-09-13 15:30:00,103.205182,153.374545,316.300812,1087.977737,1011.073408,1194.089969,13.686266,187.72181,83.659468
2017-09-13 15:45:00,150.152364,125.328553,221.062458,743.818183,793.531184,1499.383433,43.253274,18.756408,207.289684
2017-09-13 16:00:00,87.469762,262.458847,235.476069,884.231151,1534.782935,1046.488417,10.514259,5.359315,195.284937
2017-09-13 16:15:00,56.681908,238.721016,154.917522,1104.923581,2131.701379,849.408178,13.52194,23.464284,153.073229
2017-09-13 16:30:00,101.087742,147.074442,169.711068,1035.640335,1233.374607,675.488124,2.08343,38.225501,97.412476
2017-09-13 16:45:00,62.083935,313.921702,232.226877,1018.670481,1319.043387,807.942659,1.484966,38.733348,162.106155
2017-09-13 17:00:00,89.074409,228.819965,291.859817,952.541034,1185.622811,954.747685,10.259941,30.987777,58.337766
2017-09-13 17:15:00,115.424495,211.521268,414.162116,1309.342824,1154.913275,903.51855,5.462783,7.063862,313.672986
2017-09-13 17:30:00,107.151063,306.921578,426.326074,1001.747384,1187.411448,912.48622,8.389796,48.533947,171.0414
2017-09-13 17:45:00,165.511069,292.349196,559.797612,1205.621382,1258.382213,956.801623,2.689606,7.229455,309.40424
2017-09-13 18:00:00,109.139501,208.025871,427.297296,1247.433189,974.113167,1124.027688,12.378077,16.487343,103.044165
2017-09-13 18:15:00,318.685671,358.751881,161.044016,1155.217539,651.26236,1418.622458,35.929157,70.825499,124.687584
2017-09-13 18:30:00,205.36398,227.218312,272.431896,936.25729,1373.032665,1449.874082,18.719079,16.148251,56.841733
2017-09-13 18:45:00,241.016821,252.831811,502.548473,876.640496,1135.007051,1310.824322,142.347748,51.233414,113.467621
2017-09-13 19:00:00,239.955592,348.101648,392.706852,1020.677236,1218.741816,1002.705426,21.826678,136.838685,188.690422
2017-09-13 19:15:00,303.335905,546.707101,529.597198,1032.816202,1161.866978,1109.065127,17.095848,90.867327,198.99925
2017-09-13 19:30:00,152.002549,276.944442,556.53479,1379.167071,1139.868885,1155.051678,8.883432,51.383501,255.389321
2017-09-13 19:45:00,95.547399,253.910489,342.47839,924.518293,968.720225,1037.206136,23.11319,35.568964,354.504303
2017-09-13 20:00:00,180.263864,300.258607,291.193452,551.296029,982.792197,1498.919415,43.207767,40.423531,288.953592
2017-09-13 20:15:00,69.208626,137.946587,305.384288,686.357325,1066.265439,1271.731226,27.088211,26.589628,243.389623
2017-09-13 20:30:00,58.998856,281.434857,582.497171,838.367964,1159.352635,1355.7552,21.671738,64.1354,198.05124
2017-09-13 20:45:00,51.034088,165.467657,324.4476,650.2209,751.578095,1478.089546,10.277235,25.016106,113.923148
2017-09-13 21:00:00,65.262309,150.72203,401.408072,680.888595,1750.101205,1910.772866,9.954041,39.330733,131.410872
2017-09-13 21:15:00,93.094608,297.290909,398.176073,599.520302,905.733516,1955.55675,16.445008,33.705336,141.370289
2017-09-13 21:30:00,45.373647,245.35234,411.603194,712.851058,1365.571356,1646.571552,17.862871,26.635221,177.956012
2017-09-13 21:45:00,54.507362,247.49654,345.638452,544.991713,966.104335,1506.2787,1.939918,66.866825,119.800633
2017-09-13 22:00:00,54.203532,201.622269,254.30312,765.986094,980.98768,1241.582498,11.394988,32.959996,166.865154
2017-09-13 22:15:00,141.089249,202.993081,472.348435,680.225364,919.502847,1401.98854,22.930692,4.318583,102.574162
2017-09-13 22:30:00,42.411251,98.051058,557.091129,735.883009,822.672719,1340.844914,18.259098,2.794749,334.161831
2017-09-13 22:45:00,102.23341,197.22678,564.460393,520.377254,1004.010394,1402.156579,7.30423,8.545544,346.740338
2017-09-13 23:00:00,185.037606,206.937475,695.884469,514.405157,895.17832,1154.114258,4.939275,6.105872,121.352575
2017-09-13 23:15:00,90.053278,121.705734,763.395677,451.433743,669.701625,1007.053888,2.474545,10.216998,154.68897
2017-09-13 23:30:00,85.18774,256.941098,910.379892,420.350804,974.56079,1006.316463,2.192721,32.479492,76.094694
2017-09-13 23:45:00,75.93976,200.26311,448.854337,529.266883,962.644743,1224.103207,9.540071,15.768869,70.841535
2017-09-14 00:00:00,104.782829,256.188593,658.249244,560.589413,637.521104,1414.995135,5.324018,54.305302,38.950458
2017-09-14 00:15:00,46.324856,60.067218,238.74658,554.130483,627.248244,1432.034029,12.930971,10.927737,40.842282
2017-09-14 00:30:00,120.016555,80.491768,262.807551,687.492762,1093.935114,1174.38319,36.010806,88.128079,92.160494
2017-09-14 00:45:00,72.081839,179.558418,211.885806,443.242543,841.381613,1024.670503,82.05821,17.655764,33.805467
2017-09-14 01:00:00,42.236174,165.691621,195.574226,610.23874,945.048868,1591.790973,7.33738,0.228775,53.509986
2017-09-14 01:15:00,59.461651,70.778663,239.461948,436.356678,434.68411,701.887453,1.956012,6.402422,141.482642
2017-09-14 01:30:00,50.861225,208.41225,187.368535,367.985373,616.498898,501.496885,7.307837,0.193538,55.066502
2017-09-14 01:45:00,20.555128,344.590617,73.987004,373.330931,359.108863,535.46418,0.468077,0.570219,2.278108
2017-09-14 02:00:00,74.494217,28.434619,111.140399,307.145002,247.57094,792.082199,6.65629,8.648232,10.591753
2017-09-14 02:15:00,14.385843,24.053618,106.114278,96.133777,76.383339,436.522848,6.92153,0.239357,2.308428
2017-09-14 02:30:00,21.030617,4.023119,108.892975,151.55306,114.790292,452.251687,1.340438,0.889379,8.140248
2017-09-14 02:45:00,95.939576,0.911058,90.301396,77.129136,124.105813,648.984102,0.753584,27.810453,30.750144
2017-09-14 03:00:00,39.462058,47.866133,29.610579,32.693032,118.64116,455.446981,1.257724,7.533555,116.658785
2017-09-14 03:15:00,0.700437,16.679196,65.213124,12.014016,140.690416,312.269038,5.816168,0.204633,55.656736
2017-09-14 03:30:00,2.993543,33.092472,108.865065,46.706362,82.967172,335.453332,0.347836,0.035293,1.95034
2017-09-14 03:45:00,0.52938,4.808944,55.35717,106.557638,28.627049,592.722367,1.200034,0.075037,1.362738
2017-09-14 04:00:00,2.17782,0.577616,35.063057,10.158988,78.204033,236.185038,0.370153,0.016086,10.733127
2017-09-14 04:15:00,2.509451,56.862739,70.749675,33.657546,181.920676,233.545089,0.300186,0.056839,17.404744
2017-09-14 04:30:00,1.268874,3.717703,188.318056,68.65934,127.242466,229.792526,0.237497,0,9.648808
2017-09-14 04:45:00,3.568116,2.908584,99.747162,180.438538,73.879174,269.672529,0.271806,0.002689,16.03199
2017-09-14 05:00:00,1.372451,0.631495,54.875916,82.853897,30.464073,67.825756,0.399069,1.243819,18.479112
2017-09-14 05:15:00,0.670458,4.09698,35.942379,72.922548,239.094882,97.129606,0.46592,0.23833,11.414424
2017-09-14 05:30:00,1.271722,33.867311,3.525696,383.092653,133.795344,49.56151,0.838436,0.099731,13.240469
2017-09-14 05:45:00,71.087229,5.153035,5.593717,5.389651,58.644486,39.824886,0.318066,0.271932,37.347394
2017-09-14 06:00:00,82.992796,40.16387,48.35919,55.309927,65.641385,51.561607,0.332229,0.071556,0.993777
2017-09-14 06:15:00,11.976275,41.151524,143.165991,124.514651,248.788494,194.052357,0.285197,0.262754,0.992158
2017-09-14 06:30:00,34.022346,75.6055,265.266528,68.320159,94.559198,184.456473,0.407582,0.097571,3.453092
2017-09-14 06:45:00,191.788331,28.669565,31.925305,136.390035,115.625943,194.760876,0.731991,0.3843,12.027927
2017-09-14 07:00:00,109.533648,60.859815,39.550157,95.150222,169.444149,216.526612,0.600738,0.564993,18.381552
2017-09-14 07:15:00,70.390242,42.449261,231.272219,291.360611,193.432929,248.205041,0.742236,3.390193,9.82049
2017-09-14 07:30:00,5.45666,51.57161,79.297643,247.100862,277.141966,568.577253,8.410629,0.293982,7.454581
2017-09-14 07:45:00,38.130465,178.445392,188.237252,446.544093,655.782615,364.231156,13.276268,25.843201,38.678813
2017-09-14 08:00:00,45.657496,128.25644,156.615996,390.82439,702.992407,584.410493,7.820821,1.212896,49.773382
2017-09-14 08:15:00,84.529533,121.201921,194.178539,774.008437,546.051053,419.121299,20.257486,17.059791,81.250542
2017-09-14 08:30:00,241.070747,218.300586,73.313595,895.15503,900.296214,457.117145,5.108831,18.405697,26.172541
2017-09-14 08:45:00,141.456559,225.157728,69.310029,629.640066,865.929164,590.582954,3.887944,15.890063,61.981619
2017-09-14 09:00:00,165.98642,236.685203,135.933562,1065.36196,1088.031858,574.582407,13.440966,29.491735,17.59982
2017-09-14 09:15:00,119.012219,284.329494,455.913635,790.394303,806.378128,490.909828,19.197487,31.737922,23.399419
2017-09-14 09:30:00,214.167407,175.903457,409.378305,1183.701318,661.796597,450.214288,1.474546,7.173318,48.231518
2017-09-14 09:45:00,94.708473,465.151203,213.823676,925.716112,697.975949,621.485815,13.116048,11.628205,84.41982
2017-09-14 10:00:00,165.798064,169.382614,249.984517,738.605858,872.208604,407.071254,32.194899,34.905545,70.056745
2017-09-14 10:15:00,49.581036,125.712131,274.737906,783.019526,459.425855,502.949715,32.116803,5.795525,46.790976
